# Time,Target_X,Actual_X,Target_Y,Actual_Y,Target_Z,Actual_Z
1769421567452214784.000000,0.000000,-0.052696,0.000000,-0.170479,2.000000,-0.011119
1769421567484544768.000000,0.000000,-0.052849,0.000000,-0.171202,2.000000,-0.010820
1769421567516771328.000000,0.000000,-0.052993,0.000000,-0.171744,2.000000,-0.010549
1769421567552833792.000000,0.000000,-0.053116,0.000000,-0.172184,2.000000,-0.010252
1769421567585515264.000000,0.000000,-0.053170,0.000000,-0.172433,2.000000,-0.010067
1769421567617784064.000000,0.000000,-0.053167,0.000000,-0.172626,2.000000,-0.009883
1769421567654304000.000000,0.000000,-0.053090,0.000000,-0.172828,2.000000,-0.009721
1769421567686674944.000000,0.000000,-0.052951,0.000000,-0.173063,2.000000,-0.009557
1769421567718882048.000000,0.000000,-0.052767,0.000000,-0.173306,2.000000,-0.009356
1769421567755150336.000000,0.000000,-0.052486,0.000000,-0.173619,2.000000,-0.009057
1769421567787436544.000000,0.000000,-0.052249,0.000000,-0.173882,2.000000,-0.008775
1769421567820013824.000000,0.000000,-0.052034,0.000000,-0.174141,2.000000,-0.008475
1769421567856496640.000000,0.000000,-0.051830,0.000000,-0.174417,2.000000,-0.008176
1769421567888513536.000000,0.000000,-0.051608,0.000000,-0.174744,2.000000,-0.007837
1769421567920770304.000000,0.000000,-0.051356,0.000000,-0.175111,2.000000,-0.007530
1769421567957030912.000000,0.000000,-0.051016,0.000000,-0.175567,2.000000,-0.007231
1769421567989361408.000000,0.000000,-0.050722,0.000000,-0.175857,2.000000,-0.007083
1769421568021607680.000000,0.000000,-0.050381,0.000000,-0.176093,2.000000,-0.007009
1769421568057796096.000000,0.000000,-0.049994,0.000000,-0.176316,2.000000,-0.006982
1769421568090014720.000000,0.000000,-0.049564,0.000000,-0.176558,2.000000,-0.006961
1769421568122276608.000000,0.000000,-0.049116,0.000000,-0.176838,2.000000,-0.006938
1769421568158603776.000000,0.000000,-0.048567,0.000000,-0.177225,2.000000,-0.006929
1769421568190760192.000000,0.000000,-0.048131,0.000000,-0.177486,2.000000,-0.006988
1769421568222927616.000000,0.000000,-0.047740,0.000000,-0.177691,2.000000,-0.007036
1769421568259268608.000000,0.000000,-0.047417,0.000000,-0.177845,2.000000,-0.007056
1769421568291559424.000000,0.000000,-0.047146,0.000000,-0.177942,2.000000,-0.007082
1769421568323677696.000000,0.000000,-0.046935,0.000000,-0.177952,2.000000,-0.007139
1769421568359823360.000000,0.000000,-0.046755,0.000000,-0.177812,2.000000,-0.007289
1769421568391901184.000000,0.000000,-0.046637,0.000000,-0.177601,2.000000,-0.007466
1769421568423781888.000000,0.000000,-0.046524,0.000000,-0.177274,2.000000,-0.007675
1769421568427695104.000000,0.000000,-0.046524,0.000000,-0.177274,2.000000,-0.007675
1769421568459943936.000000,0.000000,-0.046381,0.000000,-0.176845,2.000000,-0.007919
1769421568491757056.000000,0.000000,-0.046182,0.000000,-0.176304,2.000000,-0.008186
1769421568523930368.000000,0.000000,-0.045958,0.000000,-0.175664,2.000000,-0.008489
1769421568560498688.000000,0.000000,-0.045639,0.000000,-0.174827,2.000000,-0.008828
1769421568592721152.000000,0.000000,-0.045330,0.000000,-0.174148,2.000000,-0.009025
1769421568624888320.000000,0.000000,-0.044991,0.000000,-0.173450,2.000000,-0.009137
1769421568661584384.000000,0.000000,-0.044653,0.000000,-0.172778,2.000000,-0.009203
1769421568693959424.000000,0.000000,-0.044320,0.000000,-0.172131,2.000000,-0.009246
1769421568726203648.000000,0.000000,-0.044026,0.000000,-0.171478,2.000000,-0.009242
1769421568762876928.000000,0.000000,-0.043692,0.000000,-0.170651,2.000000,-0.009270
1769421568794953728.000000,0.000000,-0.043437,0.000000,-0.170010,2.000000,-0.009348
1769421568827493888.000000,0.000000,-0.043188,0.000000,-0.169382,2.000000,-0.009458
1769421568864026112.000000,0.000000,-0.042909,0.000000,-0.168782,2.000000,-0.009579
1769421568896296960.000000,0.000000,-0.042625,0.000000,-0.168239,2.000000,-0.009757
1769421568928524544.000000,0.000000,-0.042320,0.000000,-0.167762,2.000000,-0.009962
1769421568965016064.000000,0.000000,-0.041873,0.000000,-0.167234,2.000000,-0.010250
1769421568997149952.000000,0.000000,-0.041460,0.000000,-0.166846,2.000000,-0.010481
1769421569029484800.000000,0.000000,-0.040997,0.000000,-0.166469,2.000000,-0.010695
1769421569065827584.000000,0.000000,-0.040509,0.000000,-0.166103,2.000000,-0.010934
1769421569097737728.000000,0.000000,-0.040033,0.000000,-0.165756,2.000000,-0.011136
1769421569129758976.000000,0.000000,-0.039557,0.000000,-0.165403,2.000000,-0.011310
1769421569166100736.000000,0.000000,-0.039018,0.000000,-0.164970,2.000000,-0.011487
1769421569198354176.000000,0.000000,-0.038632,0.000000,-0.164585,2.000000,-0.011624
1769421569230640384.000000,0.000000,-0.038283,0.000000,-0.164154,2.000000,-0.011758
1769421569266822144.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421569367267328.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421569467755264.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421569568227072.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421569668723456.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421569769201408.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421569869695488.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421569970242304.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421570070706944.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421570171220992.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421570271701248.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421570372141824.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
1769421570472605184.000000,0.000000,-0.037966,0.000000,-0.163675,2.000000,-0.011893
